glyph name;code points;category;subcategory
.notdef;
A;U+0041
AE;U+00C6
Aacute;U+00C1
Abreve;U+0102
Acircumflex;U+00C2
Adieresis;U+00C4
Agrave;U+00C0
Amacron;U+0100
Aogonek;U+0104
Aring;U+00C5
Atilde;U+00C3
B;U+0042
C;U+0043
Cacute;U+0106
Ccaron;U+010C
Ccedilla;U+00C7
Ccircumflex;U+0108
Cdotaccent;U+010A
D;U+0044
Dcaron;U+010E
Dcroat;U+0110
E;U+0045
Eacute;U+00C9
Ebreve;U+0114
Ecaron;U+011A
Ecircumflex;U+00CA
Edieresis;U+00CB
Edotaccent;U+0116
Egrave;U+00C8
Emacron;U+0112
Eng;U+014A
Eogonek;U+0118
Eth;U+00D0
F;U+0046
G;U+0047
G.ss01;
Gbreve;U+011E
Gcircumflex;U+011C
Gcommaaccent;U+0122
Gdotaccent;U+0120
Germandbls;U+1E9E
H;U+0048
H.ss01;
Hbar;U+0126
Hcircumflex;U+0124
I;U+0049
IJ;U+0132
Iacute;U+00CD
Ibreve;U+012C
Icircumflex;U+00CE
Idieresis;U+00CF
Idotaccent;U+0130
Igrave;U+00CC
Imacron;U+012A
Iogonek;U+012E
Itilde;U+0128
J;U+004A
Jcircumflex;U+0134
K;U+004B
K.ss01;
Kcommaaccent;U+0136
L;U+004C
Lacute;U+0139
Lcaron;U+013D
Lcommaaccent;U+013B
Ldot;U+013F
Lslash;U+0141
M;U+004D
N;U+004E
Nacute;U+0143
Ncaron;U+0147
Ncommaaccent;U+0145
Ntilde;U+00D1
O;U+004F
OE;U+0152
Oacute;U+00D3
Obreve;U+014E
Ocircumflex;U+00D4
Odieresis;U+00D6
Ograve;U+00D2
Ohungarumlaut;U+0150
Omacron;U+014C
Oslash;U+00D8
Otilde;U+00D5
P;U+0050
Q;U+0051
Q_U;;;Ligature
R;U+0052
Racute;U+0154
Rcaron;U+0158
Rcommaaccent;U+0156
S;U+0053
Sacute;U+015A
Scaron;U+0160
Scedilla;U+015E
Scircumflex;U+015C
Scommaaccent;U+0218
T;U+0054
Tcaron;U+0164
Tcedilla;U+0162
Tcommaaccent;U+021A
Thorn;U+00DE
U;U+0055
Uacute;U+00DA
Ubreve;U+016C
Ucircumflex;U+00DB
Udieresis;U+00DC
Ugrave;U+00D9
Uhungarumlaut;U+0170
Umacron;U+016A
Uogonek;U+0172
Uring;U+016E
Utilde;U+0168
V;U+0056
W;U+0057
W.ss01;
W.ss02;
W.ss03;
W.ss04;
Wacute;U+1E82
Wcircumflex;U+0174
Wdieresis;U+1E84
Wgrave;U+1E80
X;U+0058
X.ss01;
Y;U+0059
Yacute;U+00DD
Ycircumflex;U+0176
Ydieresis;U+0178
Ygrave;U+1EF2
Z;U+005A
Zacute;U+0179
Zcaron;U+017D
Zdotaccent;U+017B
a;U+0061
a.ss01;
aacute;U+00E1
abreve;U+0103
acircumflex;U+00E2
acute;U+00B4
acutecomb;U+0301;Mark;Nonspacing
acutecomb.case;;Mark;Nonspacing
adieresis;U+00E4
ae;U+00E6
agrave;U+00E0
ainferior;U+2090
amacron;U+0101
ampersand;U+0026
aogonek;U+0105
apple;U+F8FF
apple.ss01;
aring;U+00E5
asciicircum;U+005E
asciitilde;U+007E
asterisk;U+002A
at;U+0040
atilde;U+00E3
b;U+0062
backslash;U+005C
bar;U+007C
braceleft;U+007B
braceright;U+007D
bracketleft;U+005B
bracketright;U+005D
breve;U+02D8
brevecomb;U+0306;Mark;Nonspacing
brevecomb.case;;Mark;Nonspacing
brevecomb.case.i;;Mark;Nonspacing
brevecomb.i;;Mark;Nonspacing
bullet;U+2022
c;U+0063
cacute;U+0107
caron;U+02C7
caroncomb;U+030C;Mark;Nonspacing
caroncomb.alt;;Mark;Nonspacing
caroncomb.case;;Mark;Nonspacing
ccaron;U+010D
ccedilla;U+00E7
ccircumflex;U+0109
cdotaccent;U+010B
cedilla;U+00B8
cedillacomb;U+0327;Mark;Nonspacing
cent;U+00A2
circumflex;U+02C6
circumflexcomb;U+0302;Mark;Nonspacing
circumflexcomb.case;;Mark;Nonspacing
circumflexcomb.case.i;;Mark;Nonspacing
circumflexcomb.i;;Mark;Nonspacing
colon;U+003A
comma;U+002C
commaaccentcomb;U+0326;Mark;Nonspacing
commaturnedabovecomb;U+0312;Mark;Nonspacing
copyright;U+00A9
d;U+0064
dblIntegral;U+222C
dcaron;U+010F
dcroat;U+0111
degree;U+00B0
dieresis;U+00A8
dieresiscomb;U+0308;Mark;Nonspacing
dieresiscomb.case;;Mark;Nonspacing
divide;U+00F7
dollar;U+0024
dollar.ss01;
dotaccent;U+02D9
dotaccentcomb;U+0307;Mark;Nonspacing
dotaccentcomb.case;;Mark;Nonspacing
doublequestion;U+2047
e;U+0065
eacute;U+00E9
ebreve;U+0115
ecaron;U+011B
ecircumflex;U+00EA
edieresis;U+00EB
edotaccent;U+0117
egrave;U+00E8
eight;U+0038
eightinferior;U+2088
eightsuperior;U+2078
einferior;U+2091
ellipsis;U+2026
emacron;U+0113
emdash;U+2014
endash;U+2013
eng;U+014B
eogonek;U+0119
equal;U+003D
equalinferior;U+208C
equalsuperior;U+207C
eth;U+00F0
euro;U+20AC
exclam;U+0021
exclamationquestion;U+2049
exclamdouble;U+203C
exclamdown;U+00A1
f;U+0066
fi;U+FB01;;Ligature
five;U+0035
fiveinferior;U+2085
fivesuperior;U+2075
fl;U+FB02;;Ligature
